prefetch x64                                      UserTime: 21.69 e/us  KernelTime: not measured e/us, sum: 0
prefetch x64 E                                    UserTime: 25.39 e/us  KernelTime: not measured e/us, sum: 0
prefetch x64 NTA                                  UserTime: 7.15 e/us  KernelTime: not measured e/us, sum: 0
prefetch x64 W                                    UserTime: 23.79 e/us  KernelTime: not measured e/us, sum: 0
prefetch x68                                      UserTime: 19.12 e/us  KernelTime: not measured e/us, sum: 0
prefetch x68 E                                    UserTime: 22.20 e/us  KernelTime: not measured e/us, sum: 0
prefetch x68 NTA                                  UserTime: 6.07 e/us  KernelTime: not measured e/us, sum: 0
prefetch x68 W                                    UserTime: 21.73 e/us  KernelTime: not measured e/us, sum: 0
prefetch x72                                      UserTime: 22.32 e/us  KernelTime: not measured e/us, sum: 0
prefetch x72 E                                    UserTime: 22.48 e/us  KernelTime: not measured e/us, sum: 0
prefetch x72 NTA                                  UserTime: 6.04 e/us  KernelTime: not measured e/us, sum: 0
prefetch x72 W                                    UserTime: 22.67 e/us  KernelTime: not measured e/us, sum: 0
prefetch x76                                      UserTime: 21.19 e/us  KernelTime: not measured e/us, sum: 0
prefetch x76 E                                    UserTime: 21.21 e/us  KernelTime: not measured e/us, sum: 0
prefetch x76 NTA                                  UserTime: 6.11 e/us  KernelTime: not measured e/us, sum: 0
prefetch x76 W                                    UserTime: 21.62 e/us  KernelTime: not measured e/us, sum: 0
prefetch x80                                      UserTime: 21.07 e/us  KernelTime: not measured e/us, sum: 0
prefetch x80 E                                    UserTime: 22.81 e/us  KernelTime: not measured e/us, sum: 0
prefetch x80 NTA                                  UserTime: 5.67 e/us  KernelTime: not measured e/us, sum: 0
prefetch x80 W                                    UserTime: 21.10 e/us  KernelTime: not measured e/us, sum: 0
prefetch x84                                      UserTime: 19.35 e/us  KernelTime: not measured e/us, sum: 0
prefetch x84 E                                    UserTime: 20.83 e/us  KernelTime: not measured e/us, sum: 0
prefetch x84 NTA                                  UserTime: 5.61 e/us  KernelTime: not measured e/us, sum: 0
